"Ticket","File","Title"
"NRedberry-r8qt4","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\TanFactoryTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/TanFactoryTests.cs"
"NRedberry-hiz5e","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\TanTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/TanTests.cs"
"NRedberry-nnefl","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\TensorArrayUtilsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/TensorArrayUtilsTests.cs"
"NRedberry-v80pe","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\TensorBuilderTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/TensorBuilderTests.cs"
"NRedberry-ezkxi","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\TensorContractionTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/TensorContractionTests.cs"
"NRedberry-xqhrw","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\TensorExceptionTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/TensorExceptionTests.cs"
"NRedberry-d6ysr","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\TensorExtensionsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/TensorExtensionsTests.cs"
"NRedberry-avkra","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\TensorFactoryTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/TensorFactoryTests.cs"
"NRedberry-qenup","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\TensorFieldTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/TensorFieldTests.cs"
"NRedberry-srkpb","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\TensorsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/TensorsTests.cs"
"NRedberry-c3t71","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\TensorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/TensorTests.cs"
"NRedberry-lihbi","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\TensorUtilsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/TensorUtilsTests.cs"
"NRedberry-557sg","D:\GitHub\NRedberry\NRedberry.Core.Tests\Tensors\TensorWrapperTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Tensors/TensorWrapperTests.cs"
"NRedberry-th1j0","D:\GitHub\NRedberry\NRedberry.Core.Tests\Test\LongTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Test/LongTest.cs"
"NRedberry-1w1o6","D:\GitHub\NRedberry\NRedberry.Core.Tests\Test\PerformanceTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Test/PerformanceTest.cs"
"NRedberry-6n9wv","D:\GitHub\NRedberry\NRedberry.Core.Tests\Test\RedberryTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Test/RedberryTest.cs"
"NRedberry-84tla","D:\GitHub\NRedberry\NRedberry.Core.Tests\Test\TestUtils.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Test/TestUtils.cs"
"NRedberry-59rmi","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Abbreviations\AbbreviationsBuilderTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Abbreviations/AbbreviationsBuilderTest.cs"
"NRedberry-cc95f","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Abbreviations\AbbreviationsBuilderTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Abbreviations/AbbreviationsBuilderTests.cs"
"NRedberry-suhdi","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\ApplyDiracDeltasTransformationTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/ApplyDiracDeltasTransformationTest.cs"
"NRedberry-ib8d2","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Collect\CollectTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Collect/CollectTransformationTests.cs"
"NRedberry-nteav","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\CollectNonScalarsITransformationTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/CollectNonScalarsITransformationTest.cs"
"NRedberry-bye9o","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\CollectNonScalarsTransformationTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/CollectNonScalarsTransformationTest.cs"
"NRedberry-8hynd","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\EliminateMetricsTransformationTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/EliminateMetricsTransformationTest.cs"
"NRedberry-hgiq3","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Expand\AbstractExpandNumeratorDenominatorTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Expand/AbstractExpandNumeratorDenominatorTransformationTests.cs"
"NRedberry-b08xp","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Expand\AbstractExpandTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Expand/AbstractExpandTransformationTests.cs"
"NRedberry-zikc0","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Expand\ExpandAllTransformationTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Expand/ExpandAllTransformationTest.cs"
"NRedberry-wfw3a","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Expand\ExpandAllTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Expand/ExpandAllTransformationTests.cs"
"NRedberry-f4jka","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Expand\ExpandDenominatorTransformationTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Expand/ExpandDenominatorTransformationTest.cs"
"NRedberry-lr8ai","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Expand\ExpandDenominatorTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Expand/ExpandDenominatorTransformationTests.cs"
"NRedberry-p7s5b","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Expand\ExpandNumeratorTransformationTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Expand/ExpandNumeratorTransformationTest.cs"
"NRedberry-ft9uy","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Expand\ExpandNumeratorTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Expand/ExpandNumeratorTransformationTests.cs"
"NRedberry-sr4rq","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Expand\ExpandOptionsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Expand/ExpandOptionsTests.cs"
"NRedberry-hyvr5","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Expand\ExpandPortTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Expand/ExpandPortTests.cs"
"NRedberry-ppv64","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Expand\ExpandTensorsOptionsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Expand/ExpandTensorsOptionsTests.cs"
"NRedberry-r7xo5","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Expand\ExpandTensorsTransformationTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Expand/ExpandTensorsTransformationTest.cs"
"NRedberry-5y5yi","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Expand\ExpandTensorsTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Expand/ExpandTensorsTransformationTests.cs"
"NRedberry-aucpa","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Expand\ExpandTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Expand/ExpandTest.cs"
"NRedberry-vrybb","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Expand\ExpandTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Expand/ExpandTransformationTests.cs"
"NRedberry-p7udy","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Expand\ExpandUtilsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Expand/ExpandUtilsTests.cs"
"NRedberry-jc5wy","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Factor\FactorOutNumberTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Factor/FactorOutNumberTest.cs"
"NRedberry-ihh32","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Factor\FactorOutNumberTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Factor/FactorOutNumberTests.cs"
"NRedberry-28bil","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Factor\FactorTransformationTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Factor/FactorTransformationTest.cs"
"NRedberry-f68he","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Factor\FactorTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Factor/FactorTransformationTests.cs"
"NRedberry-h6wl2","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Factor\JasFactorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Factor/JasFactorTests.cs"
"NRedberry-h1vfy","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Factor\SingularFactorizationEngineTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Factor/SingularFactorizationEngineTest.cs"
"NRedberry-eauf6","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Factor\SingularFactorizationEngineTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Factor/SingularFactorizationEngineTests.cs"
"NRedberry-e3mdb","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Fractions\GetDenominatorTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Fractions/GetDenominatorTransformationTests.cs"
"NRedberry-gght0","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Fractions\GetNumeratorTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Fractions/GetNumeratorTransformationTests.cs"
"NRedberry-wehvo","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Fractions\NumeratorDenominatorTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Fractions/NumeratorDenominatorTest.cs"
"NRedberry-m789d","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Fractions\NumeratorDenominatorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Fractions/NumeratorDenominatorTests.cs"
"NRedberry-sgz0z","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Fractions\TogetherTransformationTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Fractions/TogetherTransformationTest.cs"
"NRedberry-twv77","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Fractions\TogetherTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Fractions/TogetherTransformationTests.cs"
"NRedberry-jtlzu","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Options\CreatorAttributeTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Options/CreatorAttributeTests.cs"
"NRedberry-c5tji","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Options\IOptionsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Options/IOptionsTests.cs"
"NRedberry-a03lo","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Options\OptionAttributeTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Options/OptionAttributeTests.cs"
"NRedberry-lrimo","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Options\OptionsAttributeTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Options/OptionsAttributeTests.cs"
"NRedberry-4kb0n","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Options\TransformationBuilderTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Options/TransformationBuilderTests.cs"
"NRedberry-xikqt","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Powerexpand\PowerExpandTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Powerexpand/PowerExpandTransformationTests.cs"
"NRedberry-z0t3f","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Powerexpand\PowerExpandUtilsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Powerexpand/PowerExpandUtilsTests.cs"
"NRedberry-eic11","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Powerexpand\PowerUnfoldTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Powerexpand/PowerUnfoldTransformationTests.cs"
"NRedberry-mw3v1","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Reverse\ReverseTransformationTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Reverse/ReverseTransformationTest.cs"
"NRedberry-9b80g","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Reverse\ReverseTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Reverse/ReverseTransformationTests.cs"
"NRedberry-y9zv2","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Reverse\SingleReverseTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Reverse/SingleReverseTests.cs"
"NRedberry-0sw5x","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Substitutions\BijectionContainerTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Substitutions/BijectionContainerTests.cs"
"NRedberry-wdst5","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Substitutions\InconsistentSubstitutionExceptionTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Substitutions/InconsistentSubstitutionExceptionTests.cs"
"NRedberry-o8x5j","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Substitutions\IndexlessBijectionsPortTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Substitutions/IndexlessBijectionsPortTests.cs"
"NRedberry-yi0dw","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Substitutions\PrimitiveProductSubstitutionTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Substitutions/PrimitiveProductSubstitutionTests.cs"
"NRedberry-nvl0g","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Substitutions\PrimitiveSimpleTensorSubstitutionTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Substitutions/PrimitiveSimpleTensorSubstitutionTests.cs"
"NRedberry-ev8xy","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Substitutions\PrimitiveSubstitutionTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Substitutions/PrimitiveSubstitutionTests.cs"
"NRedberry-fdwrg","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Substitutions\PrimitiveSumSubstitutionTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Substitutions/PrimitiveSumSubstitutionTests.cs"
"NRedberry-l5z0f","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Substitutions\PrimitiveTensorFieldSubstitutionTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Substitutions/PrimitiveTensorFieldSubstitutionTests.cs"
"NRedberry-g0881","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Substitutions\ProductsBijectionsPortTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Substitutions/ProductsBijectionsPortTests.cs"
"NRedberry-8je38","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Substitutions\SubstitutionIteratorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Substitutions/SubstitutionIteratorTests.cs"
"NRedberry-runr7","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Substitutions\SubstitutionTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Substitutions/SubstitutionTransformationTests.cs"
"NRedberry-nyta8","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Substitutions\SumBijectionPortTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Substitutions/SumBijectionPortTests.cs"
"NRedberry-eiiy3","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Symmetrization\ApplyDiracDeltasTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Symmetrization/ApplyDiracDeltasTransformationTests.cs"
"NRedberry-3033n","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Symmetrization\CollectNonScalarsITransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Symmetrization/CollectNonScalarsITransformationTests.cs"
"NRedberry-7iqib","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Symmetrization\CollectScalarFactorsITransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Symmetrization/CollectScalarFactorsITransformationTests.cs"
"NRedberry-1swh3","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Symmetrization\ComplexConjugateTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Symmetrization/ComplexConjugateTransformationTests.cs"
"NRedberry-ih4sa","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Symmetrization\DifferentiateTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Symmetrization/DifferentiateTransformationTests.cs"
"NRedberry-sj2t9","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Symmetrization\EliminateDueSymmetriesTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Symmetrization/EliminateDueSymmetriesTransformationTests.cs"
"NRedberry-2go3g","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Symmetrization\EliminateFromSymmetriesITransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Symmetrization/EliminateFromSymmetriesITransformationTests.cs"
"NRedberry-q961j","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Symmetrization\EliminateMetricsTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Symmetrization/EliminateMetricsTransformationTests.cs"
"NRedberry-xnwvk","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Symmetrization\ExpandAndEliminateTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Symmetrization/ExpandAndEliminateTransformationTests.cs"
"NRedberry-0q4zz","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Symmetrization\ExpandTensorsAndEliminateTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Symmetrization/ExpandTensorsAndEliminateTransformationTests.cs"
"NRedberry-2vbzk","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Symmetrization\IdentityTransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Symmetrization/IdentityTransformationTests.cs"
"NRedberry-8k3an","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Symmetrization\ITransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Symmetrization/ITransformationTests.cs"
"NRedberry-iczvn","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Symmetrization\SymmetrizeUpperLowerIndicesITransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Symmetrization/SymmetrizeUpperLowerIndicesITransformationTests.cs"
"NRedberry-mh4h2","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Symmetrization\ToNumericITransformationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Symmetrization/ToNumericITransformationTests.cs"
"NRedberry-v0jxz","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Symmetrization\TransformationCollectionTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Symmetrization/TransformationCollectionTests.cs"
"NRedberry-1v3k2","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Symmetrization\TransformationExceptionTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Symmetrization/TransformationExceptionTests.cs"
"NRedberry-axtji","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Symmetrization\TransformationToStringAbleTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Symmetrization/TransformationToStringAbleTests.cs"
"NRedberry-tfiuq","D:\GitHub\NRedberry\NRedberry.Core.Tests\Transformations\Symmetrization\TransformerTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Transformations/Symmetrization/TransformerTests.cs"
"NRedberry-xm47a","D:\GitHub\NRedberry\NRedberry.Core.Tests\UnsafeCombinatoricsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/UnsafeCombinatoricsTests.cs"
"NRedberry-7jlcc","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\ArrayIteratorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/ArrayIteratorTests.cs"
"NRedberry-j51ff","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\ArraysTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/ArraysTests.cs"
"NRedberry-ez44z","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\ArraysUtilsAddAllTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/ArraysUtilsAddAllTests.cs"
"NRedberry-x5z42","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\ArraysUtilsBijectionTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/ArraysUtilsBijectionTests.cs"
"NRedberry-762w5","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\ArraysUtilsBinarySearchTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/ArraysUtilsBinarySearchTests.cs"
"NRedberry-36mnv","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\ArraysUtilsConversionsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/ArraysUtilsConversionsTests.cs"
"NRedberry-agyp4","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\ArraysUtilsFillTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/ArraysUtilsFillTests.cs"
"NRedberry-udtyo","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\ArraysUtilsHashTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/ArraysUtilsHashTests.cs"
"NRedberry-rjeih","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\ArraysUtilsInsertionSortTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/ArraysUtilsInsertionSortTests.cs"
"NRedberry-bynw6","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\ArraysUtilsNumericsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/ArraysUtilsNumericsTests.cs"
"NRedberry-g1sby","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\ArraysUtilsQuickSortTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/ArraysUtilsQuickSortTests.cs"
"NRedberry-l9665","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\ArraysUtilsRangeCheckTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/ArraysUtilsRangeCheckTests.cs"
"NRedberry-tt98o","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\ArraysUtilsRemoveTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/ArraysUtilsRemoveTests.cs"
"NRedberry-wzp5u","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\ArraysUtilsSelectTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/ArraysUtilsSelectTests.cs"
"NRedberry-qxrin","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\ArraysUtilsSortingTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/ArraysUtilsSortingTests.cs"
"NRedberry-nbg8y","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\ArraysUtilsSwapTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/ArraysUtilsSwapTests.cs"
"NRedberry-hu6ki","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\ArraysUtilsToStringTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/ArraysUtilsToStringTests.cs"
"NRedberry-nnok5","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\BinaryToStringConverterTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/BinaryToStringConverterTests.cs"
"NRedberry-81nas","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\BitArrayExtensionsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/BitArrayExtensionsTests.cs"
"NRedberry-v4fyz","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\ByteBackedBitArrayTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/ByteBackedBitArrayTests.cs"
"NRedberry-vhjuu","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\DefaultToStringConverterTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/DefaultToStringConverterTests.cs"
"NRedberry-ctznq","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\EmptyIteratorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/EmptyIteratorTests.cs"
"NRedberry-o0bug","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\HashFunctionsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/HashFunctionsTests.cs"
"NRedberry-858sx","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\HexToStringConverterTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/HexToStringConverterTests.cs"
"NRedberry-qjl6g","D:\GitHub\NRedberry\NRedberry.Core.Tests\Utils\IBitArrayTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Utils/IBitArrayTests.cs"
