"Ticket","File","Title"
"NRedberry-6kn9m","D:\GitHub\NRedberry\NRedberry.Core.Tests\Groups\PermutationsOrderOfPermutationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Groups/PermutationsOrderOfPermutationTests.cs"
"NRedberry-esvan","D:\GitHub\NRedberry\NRedberry.Core.Tests\Groups\PermutationsParityTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Groups/PermutationsParityTests.cs"
"NRedberry-4lv6v","D:\GitHub\NRedberry\NRedberry.Core.Tests\Groups\PermutationsPermuteTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Groups/PermutationsPermuteTests.cs"
"NRedberry-9z9kd","D:\GitHub\NRedberry\NRedberry.Core.Tests\Groups\PermutationsRandomTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Groups/PermutationsRandomTests.cs"
"NRedberry-knudo","D:\GitHub\NRedberry\NRedberry.Core.Tests\Groups\PermutationsTestPermutationCorrectnessTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Groups/PermutationsTestPermutationCorrectnessTests.cs"
"NRedberry-vd53s","D:\GitHub\NRedberry\NRedberry.Core.Tests\Groups\PermutationsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Groups/PermutationsTests.cs"
"NRedberry-i56g3","D:\GitHub\NRedberry\NRedberry.Core.Tests\Groups\RandomPermutationTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Groups/RandomPermutationTests.cs"
"NRedberry-wjaf8","D:\GitHub\NRedberry\NRedberry.Core.Tests\Groups\SchreierVectorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Groups/SchreierVectorTests.cs"
"NRedberry-nderf","D:\GitHub\NRedberry\NRedberry.Core.Tests\ICloneableTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/ICloneableTests.cs"
"NRedberry-2zqyp","D:\GitHub\NRedberry\NRedberry.Core.Tests\IndexGeneration\IndexGeneratorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/IndexGeneration/IndexGeneratorTests.cs"
"NRedberry-x8m06","D:\GitHub\NRedberry\NRedberry.Core.Tests\IndexGeneration\IntGeneratorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/IndexGeneration/IntGeneratorTests.cs"
"NRedberry-85wan","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indexmapping\DummyIndexMappingProviderTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indexmapping/DummyIndexMappingProviderTests.cs"
"NRedberry-cqv8o","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indexmapping\IIndexMappingBufferTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indexmapping/IIndexMappingBufferTests.cs"
"NRedberry-3oki2","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indexmapping\IIndexMappingProviderFactoryTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indexmapping/IIndexMappingProviderFactoryTests.cs"
"NRedberry-2yjh9","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indexmapping\IIndexMappingProviderTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indexmapping/IIndexMappingProviderTests.cs"
"NRedberry-7b4yd","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indexmapping\IndexMappingBufferRecordTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indexmapping/IndexMappingBufferRecordTests.cs"
"NRedberry-yhsqb","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indexmapping\IndexMappingProviderAbstractFTTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indexmapping/IndexMappingProviderAbstractFTTests.cs"
"NRedberry-rpqkf","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indexmapping\IndexMappingProviderAbstractTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indexmapping/IndexMappingProviderAbstractTests.cs"
"NRedberry-rkipe","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indexmapping\IndexMappingsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indexmapping/IndexMappingsTests.cs"
"NRedberry-7ku18","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indexmapping\IndexMappingTestUtilsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indexmapping/IndexMappingTestUtilsTests.cs"
"NRedberry-ixght","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indexmapping\MappingsPortRemovingContractedTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indexmapping/MappingsPortRemovingContractedTests.cs"
